customer_id,name,gender,age,city,signup_date
136,김은주,M,19,대구,2024-02-04
137,김선영,M,68,울산,2024-11-28
138,이정훈,F,35,대구,2025-02-16
139,하승현,F,42,서울,2023-11-13
140,권광수,M,32,인천,2025-01-02
141,김진호,M,40,광주,2023-09-09
142,하서연,F,32,서울,2023-08-09
143,김예은,F,43,대전,2024-01-02
144,김정자,M,22,광주,2025-02-01
145,조정호,M,59,성남,2024-01-02
146,김숙자,M,61,성남,2025-12-23
147,이정남,M,19,부산,2025-02-11
148,오도현,M,29,고양,2026-06-15
149,김정자,M,20,부산,2024-10-19
150,조미영,M,40,대전,2025-12-04
